x,y,yaw,km,kf
1.0,0.0,0.0,0.0,0.0
15.0,-4.0,-0.4363,0.0277,0.0132
18.0,-4.0,-0.4363,0.0242,0.022
9.0,-2.0,-0.4363,0.0484,0.044
12.0,-2.0,-0.4363,0.0378,0.0537
15.0,-2.0,-0.4363,0.0308,0.0529
18.0,-2.0,-0.4363,0.0258,0.0496
15.0,0.0,-0.4363,0.0305,0.0926
12.0,2.0,-0.4363,0.0322,0.1777
15.0,2.0,-0.4363,0.0269,0.1323
18.0,2.0,-0.4363,0.0231,0.1047
21.0,2.0,-0.4363,0.0201,0.0864
21.0,4.0,-0.4363,0.0177,0.1066
18.0,-6.0,-0.2182,0.0094,0.0576
21.0,-6.0,-0.2182,0.0087,0.0367
12.0,-4.0,-0.2182,0.0141,0.0863
15.0,-4.0,-0.2182,0.0125,0.0442
18.0,-4.0,-0.2182,0.011,0.0231
21.0,-4.0,-0.2182,0.0098,0.0113
6.0,-2.0,-0.2182,0.0282,0.1727
9.0,-2.0,-0.2182,0.022,0.0462
12.0,-2.0,-0.2182,0.0175,0.0088
15.0,-2.0,-0.2182,0.0143,0.0054
18.0,-2.0,-0.2182,0.0121,0.0114
21.0,-2.0,-0.2182,0.0104,0.014
3.0,0.0,-0.2182,0.0736,0.2751
6.0,0.0,-0.2182,0.0368,0.1375
9.0,-0.0,-0.2182,0.0245,0.0917
12.0,0.0,-0.2182,0.0184,0.0688
15.0,0.0,-0.2182,0.0147,0.055
18.0,-0.0,-0.2182,0.0123,0.0458
21.0,0.0,-0.2182,0.0105,0.0393
9.0,2.0,-0.2182,0.0199,0.2295
12.0,2.0,-0.2182,0.0162,0.1463
15.0,2.0,-0.2182,0.0134,0.1046
18.0,2.0,-0.2182,0.0115,0.0803
21.0,2.0,-0.2182,0.01,0.0646
15.0,4.0,-0.2182,0.0111,0.1543
18.0,4.0,-0.2182,0.01,0.1148
21.0,4.0,-0.2182,0.0089,0.0899
21.0,-6.0,0.0,0.0,0.0816
15.0,-4.0,0.0,0.0,0.1067
18.0,-4.0,0.0,0.0,0.0741
21.0,-4.0,-0.0,0.0,0.0544
9.0,-2.0,0.0,0.0,0.1481
12.0,-2.0,0.0,0.0,0.0833
15.0,-2.0,0.0,0.0,0.0533
18.0,-2.0,0.0,0.0,0.037
21.0,-2.0,-0.0,0.0,0.0272
3.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0
9.0,2.0,0.0,0.0,0.1481
12.0,2.0,0.0,0.0,0.0833
15.0,2.0,-0.0,0.0,0.0533
18.0,2.0,0.0,0.0,0.037
21.0,2.0,0.0,0.0,0.0272
15.0,4.0,-0.0,0.0,0.1067
18.0,4.0,0.0,0.0,0.0741
21.0,4.0,0.0,0.0,0.0544
21.0,6.0,-0.0,0.0,0.0816
15.0,-4.0,0.2182,0.0111,0.1543
18.0,-4.0,0.2182,0.01,0.1148
21.0,-4.0,0.2182,0.0089,0.0899
9.0,-2.0,0.2182,0.0199,0.2295
12.0,-2.0,0.2182,0.0162,0.1463
15.0,-2.0,0.2182,0.0134,0.1046
18.0,-2.0,0.2182,0.0115,0.0803
21.0,-2.0,0.2182,0.01,0.0646
3.0,0.0,0.2182,0.0736,0.2751
6.0,0.0,0.2182,0.0368,0.1375
9.0,-0.0,0.2182,0.0245,0.0917
12.0,0.0,0.2182,0.0184,0.0688
15.0,-0.0,0.2182,0.0147,0.055
18.0,-0.0,0.2182,0.0123,0.0458
21.0,0.0,0.2182,0.0105,0.0393
6.0,2.0,0.2182,0.0282,0.1727
9.0,2.0,0.2182,0.022,0.0462
12.0,2.0,0.2182,0.0175,0.0088
15.0,2.0,0.2182,0.0143,0.0054
18.0,2.0,0.2182,0.0121,0.0114
21.0,2.0,0.2182,0.0104,0.014
12.0,4.0,0.2182,0.0141,0.0863
15.0,4.0,0.2182,0.0125,0.0442
18.0,4.0,0.2182,0.011,0.0231
21.0,4.0,0.2182,0.0098,0.0113
18.0,6.0,0.2182,0.0094,0.0576
21.0,6.0,0.2182,0.0087,0.0367
21.0,-4.0,0.4363,0.0177,0.1066
12.0,-2.0,0.4363,0.0322,0.1777
15.0,-2.0,0.4363,0.0269,0.1323
18.0,-2.0,0.4363,0.0231,0.1047
21.0,-2.0,0.4363,0.0201,0.0864
15.0,-0.0,0.4363,0.0305,0.0926
9.0,2.0,0.4363,0.0484,0.044
12.0,2.0,0.4363,0.0378,0.0537
15.0,2.0,0.4363,0.0308,0.0529
18.0,2.0,0.4363,0.0258,0.0496
15.0,4.0,0.4363,0.0277,0.0132
18.0,4.0,0.4363,0.0242,0.022
